instance fatanode-results/gss-20210111 fatanode-results/gss-cliques-20210111 fatanode-results/gss-cliques-cliquesup-20210111 fatanode-results/gss-cliques-cliquesup-locallyinjective-20210111 fatanode-results/gss-cliques-cliquesup-noninjective-20210111 fatanode-results/gss-cliques-locallyinjective-20210111 fatanode-results/gss-cliques-noninjective-20210111 fatanode-results/gss-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-20210111 fatanode-results/gss-count-cliques-20210111 fatanode-results/gss-count-cliques-locallyinjective-20210111 fatanode-results/gss-count-cliques-noninjective-20210111 fatanode-results/gss-count-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-locallyinjective-20210111 fatanode-results/gss-count-noninjective-20210111 fatanode-results/gss-count-noninjective-nosupplementals-20210111 fatanode-results/gss-locallyinjective-20210111 fatanode-results/gss-noninjective-20210111 fatanode-results/gss-noninjective-nosupplementals-20210111
all-images-CVIU11-pattern44-target26 101 173 193 189 0 115 0 0 55 170 135 NaN NaN 50 NaN NaN 92 0 0
all-images-CVIU11-pattern44-target27 205 372 448 493 0 353 0 0 194 340 321 NaN NaN 215 NaN NaN 188 0 0
all-images-CVIU11-pattern44-target28 54 117 109 154 0 119 0 0 62 95 74 NaN NaN 58 NaN NaN 42 0 0
all-images-CVIU11-pattern44-target29 456 820 1024 1025 0 802 0 0 421 810 887 NaN NaN 403 NaN NaN 443 0 0
all-images-CVIU11-pattern44-target3 352 510 719 677 0 506 0 0 269 500 490 NaN NaN 340 NaN NaN 289 0 0
all-images-CVIU11-pattern44-target30 314 621 782 779 0 604 0 0 305 588 562 NaN NaN 339 NaN NaN 315 0 0
all-images-CVIU11-pattern44-target31 259 462 644 605 0 605 0 0 226 434 535 NaN NaN 214 NaN NaN 241 0 0
all-images-CVIU11-pattern44-target32 492 1280 1177 1196 0 1022 0 0 471 935 889 NaN NaN 457 NaN NaN 470 0 0
all-images-CVIU11-pattern44-target33 555 875 1093 1051 0 853 0 0 441 902 822 NaN NaN 429 NaN NaN 533 0 0
all-images-CVIU11-pattern44-target34 208 516 500 477 0 408 0 0 182 347 369 NaN NaN 176 NaN NaN 182 0 0
all-images-CVIU11-pattern44-target35 403 786 1039 993 0 795 0 0 403 801 744 NaN NaN 429 NaN NaN 399 0 0
all-images-CVIU11-pattern44-target36 130 359 447 409 0 349 0 0 121 280 249 NaN NaN 115 NaN NaN 179 0 0
all-images-CVIU11-pattern44-target37 397 769 973 970 0 785 0 0 382 734 779 NaN NaN 387 NaN NaN 488 0 0
all-images-CVIU11-pattern44-target38 344 678 906 992 0 656 0 0 369 644 661 NaN NaN 322 NaN NaN 373 0 0
all-images-CVIU11-pattern44-target39 152 268 483 417 0 279 0 0 139 270 255 NaN NaN 185 NaN NaN 146 0 0
all-images-CVIU11-pattern44-target4 236 437 612 596 0 435 0 0 234 479 434 NaN NaN 213 NaN NaN 242 0 0
all-images-CVIU11-pattern44-target40 232 365 721 595 0 373 0 0 177 404 339 NaN NaN 171 NaN NaN 245 0 0
all-images-CVIU11-pattern44-target41 196 342 444 434 0 344 0 0 212 383 318 NaN NaN 165 NaN NaN 217 0 0
all-images-CVIU11-pattern44-target42 212 387 521 504 0 462 0 0 196 392 387 NaN NaN 179 NaN NaN 201 0 0
all-images-CVIU11-pattern44-target43 468 643 780 841 0 599 0 0 324 643 637 NaN NaN 309 NaN NaN 321 0 0
all-images-CVIU11-pattern44-target44 448 932 1226 1131 0 985 0 0 440 852 849 NaN NaN 419 NaN NaN 457 0 0
all-images-CVIU11-pattern44-target45 452 833 1137 1100 0 814 0 0 452 801 899 NaN NaN 493 NaN NaN 433 0 0
all-images-CVIU11-pattern44-target46 210 392 537 475 0 370 0 0 195 404 369 NaN NaN 177 NaN NaN 214 0 0
all-images-CVIU11-pattern44-target47 351 642 964 801 0 634 0 0 341 648 633 NaN NaN 322 NaN NaN 353 0 0
all-images-CVIU11-pattern44-target48 117 257 286 295 0 254 0 0 162 211 202 NaN NaN 110 NaN NaN 139 0 0
all-images-CVIU11-pattern44-target49 205 380 556 471 0 361 0 0 240 377 344 NaN NaN 198 NaN NaN 221 0 0
all-images-CVIU11-pattern44-target5 396 712 858 878 0 682 0 0 327 634 635 NaN NaN 329 NaN NaN 344 0 0
all-images-CVIU11-pattern44-target50 409 728 931 974 0 731 0 0 364 702 793 NaN NaN 351 NaN NaN 390 0 0
all-images-CVIU11-pattern44-target51 167 290 392 386 0 305 0 0 192 295 293 NaN NaN 185 NaN NaN 167 0 0
all-images-CVIU11-pattern44-target52 171 327 396 409 0 343 0 0 158 284 416 NaN NaN 154 NaN NaN 161 0 0
all-images-CVIU11-pattern44-target53 115 212 301 335 0 222 0 0 103 173 178 NaN NaN 111 NaN NaN 150 0 0
all-images-CVIU11-pattern44-target54 159 204 257 373 0 229 0 0 113 190 194 NaN NaN 98 NaN NaN 167 0 0
all-images-CVIU11-pattern44-target55 104 233 274 315 0 179 0 0 88 168 221 NaN NaN 114 NaN NaN 146 0 0
all-images-CVIU11-pattern44-target56 114 141 192 181 0 135 0 0 111 155 135 NaN NaN 65 NaN NaN 71 0 0
all-images-CVIU11-pattern44-target57 555 1008 1177 1148 0 923 0 0 481 894 889 NaN NaN 476 NaN NaN 478 0 0
all-images-CVIU11-pattern44-target58 112 151 222 191 0 214 0 0 99 177 137 NaN NaN 102 NaN NaN 78 0 0
all-images-CVIU11-pattern44-target59 369 604 835 742 0 734 0 0 298 577 550 NaN NaN 293 NaN NaN 318 0 0
all-images-CVIU11-pattern44-target6 348 592 795 808 0 623 0 0 311 601 579 NaN NaN 364 NaN NaN 321 0 0
all-images-CVIU11-pattern44-target60 196 299 406 397 0 302 0 0 161 279 287 NaN NaN 147 NaN NaN 170 0 0
all-images-CVIU11-pattern44-target61 394 614 720 717 0 589 0 0 294 553 612 NaN NaN 265 NaN NaN 272 0 0
all-images-CVIU11-pattern44-target62 356 670 915 809 0 659 0 0 358 626 650 NaN NaN 350 NaN NaN 358 0 0
all-images-CVIU11-pattern44-target63 256 481 734 607 0 506 0 0 242 479 497 NaN NaN 242 NaN NaN 260 0 0
all-images-CVIU11-pattern44-target64 289 356 581 431 0 334 0 0 163 334 352 NaN NaN 159 NaN NaN 218 0 0
all-images-CVIU11-pattern44-target65 205 333 417 468 0 303 0 0 146 334 327 NaN NaN 133 NaN NaN 145 0 0
all-images-CVIU11-pattern44-target66 128 232 265 239 0 187 0 0 100 185 213 NaN NaN 117 NaN NaN 113 0 0
all-images-CVIU11-pattern44-target67 366 699 895 880 0 666 0 0 358 681 690 NaN NaN 354 NaN NaN 347 0 0
all-images-CVIU11-pattern44-target68 402 781 970 1038 0 765 0 0 404 855 773 NaN NaN 379 NaN NaN 384 0 0
all-images-CVIU11-pattern44-target69 433 851 1176 1103 0 824 0 0 397 836 845 NaN NaN 410 NaN NaN 458 0 0
all-images-CVIU11-pattern44-target7 449 571 816 750 0 629 0 0 295 557 563 NaN NaN 301 NaN NaN 313 0 0
all-images-CVIU11-pattern44-target70 384 701 941 950 0 716 0 0 391 735 713 NaN NaN 353 NaN NaN 393 0 0
all-images-CVIU11-pattern44-target71 279 549 724 772 0 589 0 0 261 528 565 NaN NaN 264 NaN NaN 267 0 0
all-images-CVIU11-pattern44-target72 338 497 651 770 0 498 0 0 246 502 486 NaN NaN 268 NaN NaN 308 0 0
all-images-CVIU11-pattern44-target73 390 755 897 986 0 693 0 0 368 706 691 NaN NaN 342 NaN NaN 381 0 0
all-images-CVIU11-pattern44-target74 436 743 971 1111 0 851 0 0 405 759 796 NaN NaN 384 NaN NaN 481 0 0
all-images-CVIU11-pattern44-target75 490 819 1140 1075 0 794 0 0 549 806 836 NaN NaN 376 NaN NaN 493 0 0
all-images-CVIU11-pattern44-target76 442 849 1087 1095 0 817 0 0 396 810 851 NaN NaN 408 NaN NaN 407 0 0
all-images-CVIU11-pattern44-target77 412 824 1148 1283 0 1007 0 0 421 792 758 NaN NaN 368 NaN NaN 428 0 0
all-images-CVIU11-pattern44-target78 433 765 988 1168 0 752 0 0 416 742 751 NaN NaN 393 NaN NaN 406 0 0
all-images-CVIU11-pattern44-target79 84 165 190 289 0 149 0 0 125 141 136 NaN NaN 98 NaN NaN 84 0 0
all-images-CVIU11-pattern44-target8 170 298 414 570 0 302 0 0 149 283 318 NaN NaN 137 NaN NaN 148 0 0
all-images-CVIU11-pattern44-target80 127 296 250 277 0 189 0 0 90 274 172 NaN NaN 136 NaN NaN 141 0 0
all-images-CVIU11-pattern44-target81 184 356 409 398 0 362 0 0 162 330 366 NaN NaN 177 NaN NaN 192 0 0
all-images-CVIU11-pattern44-target82 247 445 564 580 0 476 0 0 240 451 405 NaN NaN 209 NaN NaN 278 0 0
all-images-CVIU11-pattern44-target83 249 460 851 617 0 444 0 0 261 441 460 NaN NaN 216 NaN NaN 276 0 0
all-images-CVIU11-pattern44-target84 23 55 81 51 0 33 0 0 19 34 38 NaN NaN 17 NaN NaN 34 0 0
all-images-CVIU11-pattern44-target85 317 598 751 746 0 558 0 0 324 697 564 NaN NaN 283 NaN NaN 333 0 0
all-images-CVIU11-pattern44-target86 201 543 549 481 0 343 0 0 245 325 363 NaN NaN 161 NaN NaN 186 0 0
all-images-CVIU11-pattern44-target87 167 332 413 414 0 324 0 0 154 308 291 NaN NaN 169 NaN NaN 170 0 0
all-images-CVIU11-pattern44-target88 288 544 679 819 0 632 0 0 292 488 505 NaN NaN 265 NaN NaN 313 0 0
all-images-CVIU11-pattern44-target89 132 201 275 352 0 284 0 0 125 234 239 NaN NaN 97 NaN NaN 188 0 0
all-images-CVIU11-pattern44-target9 168 297 442 451 0 327 0 0 162 293 291 NaN NaN 193 NaN NaN 244 0 0
all-images-CVIU11-pattern44-target90 66 124 167 226 0 176 0 0 96 121 113 NaN NaN 55 NaN NaN 61 0 0
all-images-CVIU11-pattern44-target91 21 58 85 72 0 84 0 0 26 49 47 NaN NaN 39 NaN NaN 30 0 0
all-images-CVIU11-pattern44-target92 418 756 983 984 0 789 0 0 400 745 815 NaN NaN 369 NaN NaN 386 0 0
all-images-CVIU11-pattern44-target93 219 400 533 560 0 370 0 0 186 370 426 NaN NaN 175 NaN NaN 209 0 0
all-images-CVIU11-pattern44-target94 289 548 695 685 0 519 0 0 285 522 635 NaN NaN 244 NaN NaN 263 0 0
all-images-CVIU11-pattern44-target95 43 112 134 97 0 69 0 0 62 105 65 NaN NaN 31 NaN NaN 38 0 0
all-images-CVIU11-pattern44-target96 100 195 269 438 0 249 0 0 132 191 268 NaN NaN 121 NaN NaN 117 0 0
all-images-CVIU11-pattern44-target97 128 337 333 311 0 221 0 0 181 204 236 NaN NaN 168 NaN NaN 150 0 0
all-images-CVIU11-pattern44-target98 97 111 221 214 0 157 0 0 65 125 144 NaN NaN 49 NaN NaN 60 0 0
all-images-CVIU11-pattern44-target99 278 504 677 656 0 476 0 0 377 497 479 NaN NaN 242 NaN NaN 266 0 0
all-images-CVIU11-pattern5-target1 260 476 605 655 0 448 0 0 236 438 490 NaN NaN 319 NaN NaN 462 0 0
all-images-CVIU11-pattern5-target10 168 327 403 451 0 445 0 0 144 301 326 NaN NaN 229 NaN NaN 272 0 0
all-images-CVIU11-pattern5-target100 41 75 126 154 0 133 0 0 57 70 122 NaN NaN 95 NaN NaN 71 0 0
all-images-CVIU11-pattern5-target101 64 75 176 104 0 136 0 0 56 81 103 NaN NaN 83 NaN NaN 100 0 0
all-images-CVIU11-pattern5-target102 115 261 364 249 0 209 0 0 128 169 215 NaN NaN 130 NaN NaN 140 0 0
all-images-CVIU11-pattern5-target103 134 281 258 255 0 342 0 0 97 271 226 NaN NaN 221 NaN NaN 172 0 0
all-images-CVIU11-pattern5-target104 327 452 543 534 0 427 0 0 199 494 535 NaN NaN 295 NaN NaN 313 0 0
all-images-CVIU11-pattern5-target105 238 623 625 599 0 479 0 0 221 430 440 NaN NaN 420 NaN NaN 316 0 0
all-images-CVIU11-pattern5-target106 237 327 422 443 0 380 0 0 181 316 456 NaN NaN 254 NaN NaN 373 0 0
all-images-CVIU11-pattern5-target107 173 225 359 440 0 253 0 0 148 275 249 NaN NaN 190 NaN NaN 185 0 0
all-images-CVIU11-pattern5-target108 351 761 998 955 0 796 0 0 469 719 840 NaN NaN 517 NaN NaN 560 0 0
all-images-CVIU11-pattern5-target109 303 490 661 608 0 476 0 0 232 429 476 NaN NaN 439 NaN NaN 347 0 0
all-images-CVIU11-pattern5-target11 84 139 211 187 0 188 0 0 70 198 153 NaN NaN 153 NaN NaN 175 0 0
all-images-CVIU11-pattern5-target110 101 267 281 248 0 185 0 0 129 252 261 NaN NaN 131 NaN NaN 213 0 0
all-images-CVIU11-pattern5-target111 125 177 218 256 0 174 0 0 119 150 246 NaN NaN 158 NaN NaN 122 0 0
all-images-CVIU11-pattern5-target112 118 147 208 299 0 184 0 0 67 148 162 NaN NaN 181 NaN NaN 191 0 0
all-images-CVIU11-pattern5-target113 119 215 408 269 0 219 0 0 92 292 247 NaN NaN 136 NaN NaN 233 0 0
all-images-CVIU11-pattern5-target114 51 167 151 227 0 123 0 0 50 105 151 NaN NaN 81 NaN NaN 97 0 0
all-images-CVIU11-pattern5-target115 167 385 426 450 0 351 0 0 261 329 350 NaN NaN 255 NaN NaN 273 0 0
all-images-CVIU11-pattern5-target116 357 797 1019 962 0 845 0 0 480 753 852 NaN NaN 623 NaN NaN 590 0 0
all-images-CVIU11-pattern5-target117 210 415 577 528 0 438 0 0 188 423 444 NaN NaN 290 NaN NaN 372 0 0
all-images-CVIU11-pattern5-target118 147 296 409 380 0 349 0 0 130 312 307 NaN NaN 193 NaN NaN 329 0 0
all-images-CVIU11-pattern5-target119 414 833 972 948 0 972 0 0 375 721 827 NaN NaN 507 NaN NaN 559 0 0
all-images-CVIU11-pattern5-target12 289 372 518 523 0 445 0 0 212 469 432 NaN NaN 272 NaN NaN 422 0 0
all-images-CVIU11-pattern5-target120 216 460 725 550 0 468 0 0 249 532 631 NaN NaN 427 NaN NaN 387 0 0
all-images-CVIU11-pattern5-target121 285 632 746 843 0 698 0 0 298 555 594 NaN NaN 441 NaN NaN 547 0 0
all-images-CVIU11-pattern5-target122 131 279 390 346 0 283 0 0 121 314 290 NaN NaN 194 NaN NaN 250 0 0
all-images-CVIU11-pattern5-target123 418 739 774 781 0 624 0 0 344 606 639 NaN NaN 425 NaN NaN 450 0 0
all-images-CVIU11-pattern5-target124 274 341 473 468 0 369 0 0 210 336 383 NaN NaN 254 NaN NaN 275 0 0
all-images-CVIU11-pattern5-target125 284 506 677 631 0 658 0 0 319 502 553 NaN NaN 443 NaN NaN 389 0 0
all-images-CVIU11-pattern5-target126 39 71 68 87 0 79 0 0 37 60 82 NaN NaN 37 NaN NaN 66 0 0
all-images-CVIU11-pattern5-target127 34 88 92 107 0 108 0 0 43 56 100 NaN NaN 75 NaN NaN 86 0 0
all-images-CVIU11-pattern5-target128 356 487 663 615 0 498 0 0 218 562 536 NaN NaN 330 NaN NaN 365 0 0
all-images-CVIU11-pattern5-target129 49 75 120 109 0 126 0 0 53 71 110 NaN NaN 93 NaN NaN 111 0 0
all-images-CVIU11-pattern5-target13 176 494 490 468 0 400 0 0 170 368 386 NaN NaN 248 NaN NaN 268 0 0
all-images-CVIU11-pattern5-target130 60 70 99 144 0 128 0 0 49 105 109 NaN NaN 96 NaN NaN 72 0 0
all-images-CVIU11-pattern5-target131 85 232 227 222 0 284 0 0 81 168 171 NaN NaN 173 NaN NaN 137 0 0
all-images-CVIU11-pattern5-target132 123 257 302 382 0 248 0 0 104 295 270 NaN NaN 194 NaN NaN 184 0 0
all-images-CVIU11-pattern5-target133 113 194 251 341 0 243 0 0 125 173 307 NaN NaN 231 NaN NaN 213 0 0
all-images-CVIU11-pattern5-target134 189 262 380 329 0 261 0 0 134 235 256 NaN NaN 176 NaN NaN 187 0 0
all-images-CVIU11-pattern5-target135 127 285 321 331 0 301 0 0 157 199 228 NaN NaN 209 NaN NaN 194 0 0
all-images-CVIU11-pattern5-target136 133 235 326 302 0 298 0 0 110 271 242 NaN NaN 201 NaN NaN 310 0 0
all-images-CVIU11-pattern5-target137 41 78 106 102 0 135 0 0 60 122 84 NaN NaN 106 NaN NaN 105 0 0
all-images-CVIU11-pattern5-target138 397 781 1210 1056 0 833 0 0 389 790 803 NaN NaN 554 NaN NaN 687 0 0
all-images-CVIU11-pattern5-target139 85 151 185 153 0 155 0 0 45 128 158 NaN NaN 125 NaN NaN 136 0 0
all-images-CVIU11-pattern5-target14 75 118 116 162 0 139 0 0 55 119 114 NaN NaN 56 NaN NaN 99 0 0
all-images-CVIU11-pattern5-target140 99 196 268 165 152 177 112 93 62 173 172 NaN NaN 106 NaN NaN 178 49 20
all-images-CVIU11-pattern5-target141 51 145 140 169 0 138 0 0 78 124 104 NaN NaN 131 NaN NaN 142 0 0
all-images-CVIU11-pattern5-target142 103 326 441 276 240 325 224 97 99 206 228 NaN NaN 197 NaN NaN 170 114 24
all-images-CVIU11-pattern5-target143 81 177 239 246 0 178 0 0 113 216 231 NaN NaN 210 NaN NaN 201 0 0
all-images-CVIU11-pattern5-target144 168 306 425 401 0 339 0 0 179 367 324 NaN NaN 223 NaN NaN 222 0 0
all-images-CVIU11-pattern5-target145 63 113 219 182 0 148 0 0 46 142 131 NaN NaN 80 NaN NaN 124 0 0
all-images-CVIU11-pattern5-target146 261 555 680 735 0 545 0 0 241 501 623 NaN NaN 629 NaN NaN 416 0 0
all-images-CVIU11-pattern5-target15 43 74 68 93 0 71 0 0 23 47 85 NaN NaN 40 NaN NaN 45 0 0
all-images-CVIU11-pattern5-target16 75 160 183 228 0 127 0 0 48 111 158 NaN NaN 128 NaN NaN 95 0 0
all-images-CVIU11-pattern5-target17 256 484 633 633 0 502 0 0 261 490 496 NaN NaN 370 NaN NaN 374 0 0
all-images-CVIU11-pattern5-target18 219 451 600 555 0 471 0 0 199 450 461 NaN NaN 319 NaN NaN 414 0 0
all-images-CVIU11-pattern5-target19 403 832 1174 1052 0 911 0 0 393 828 859 NaN NaN 560 NaN NaN 583 0 0
all-images-CVIU11-pattern5-target2 214 302 435 448 0 327 0 0 152 322 355 NaN NaN 253 NaN NaN 283 0 0
all-images-CVIU11-pattern5-target20 292 548 790 687 0 610 0 0 350 553 575 NaN NaN 391 NaN NaN 418 0 0
all-images-CVIU11-pattern5-target21 184 384 497 534 412 409 416 163 178 387 392 NaN NaN 300 NaN NaN 294 180 37
all-images-CVIU11-pattern5-target22 110 213 273 278 0 226 0 0 94 241 205 NaN NaN 174 NaN NaN 166 0 0
all-images-CVIU11-pattern5-target23 229 508 733 598 0 494 0 0 228 543 499 NaN NaN 316 NaN NaN 369 0 0
all-images-CVIU11-pattern5-target24 49 55 106 87 0 97 0 0 41 64 94 NaN NaN 67 NaN NaN 48 0 0
all-images-CVIU11-pattern5-target25 99 271 262 247 0 209 0 0 145 189 240 NaN NaN 128 NaN NaN 143 0 0
all-images-CVIU11-pattern5-target26 50 104 230 177 0 116 0 0 43 98 110 NaN NaN 66 NaN NaN 118 0 0
all-images-CVIU11-pattern5-target27 163 311 449 404 0 361 0 0 151 304 344 NaN NaN 247 NaN NaN 251 0 0
all-images-CVIU11-pattern5-target28 59 109 147 152 0 82 0 0 52 98 74 NaN NaN 78 NaN NaN 57 0 0
all-images-CVIU11-pattern5-target29 537 805 1040 971 0 842 0 0 391 775 855 NaN NaN 553 NaN NaN 598 0 0
all-images-CVIU11-pattern5-target3 250 504 685 616 0 533 0 0 252 470 553 NaN NaN 373 NaN NaN 368 0 0
all-images-CVIU11-pattern5-target30 281 580 752 763 0 620 0 0 282 665 645 NaN NaN 419 NaN NaN 419 0 0
all-images-CVIU11-pattern5-target31 263 424 570 554 0 465 0 0 208 396 426 NaN NaN 315 NaN NaN 316 0 0
all-images-CVIU11-pattern5-target32 460 906 1216 1167 0 950 0 0 453 960 920 NaN NaN 619 NaN NaN 629 0 0
all-images-CVIU11-pattern5-target33 468 864 1079 1051 0 882 0 0 409 833 866 NaN NaN 734 NaN NaN 665 0 0
all-images-CVIU11-pattern5-target34 169 336 456 505 0 376 0 0 164 395 377 NaN NaN 243 NaN NaN 296 0 0
all-images-CVIU11-pattern5-target35 421 779 1257 1101 0 936 0 0 369 767 848 NaN NaN 554 NaN NaN 696 0 0
all-images-CVIU11-pattern5-target36 179 218 331 317 0 255 0 0 104 313 245 NaN NaN 165 NaN NaN 204 0 0
all-images-CVIU11-pattern5-target37 384 746 1023 889 0 781 0 0 346 743 753 NaN NaN 516 NaN NaN 539 0 0
all-images-CVIU11-pattern5-target38 320 666 898 856 0 672 0 0 314 658 686 NaN NaN 529 NaN NaN 488 0 0
all-images-CVIU11-pattern5-target39 132 280 345 356 0 280 0 0 123 265 306 NaN NaN 203 NaN NaN 303 0 0
all-images-CVIU11-pattern5-target4 303 415 643 623 0 465 0 0 234 475 482 NaN NaN 436 NaN NaN 318 0 0
all-images-CVIU11-pattern5-target40 193 335 477 474 0 372 0 0 201 323 354 NaN NaN 257 NaN NaN 241 0 0
all-images-CVIU11-pattern5-target41 169 329 457 433 0 505 0 0 185 317 358 NaN NaN 224 NaN NaN 258 0 0
all-images-CVIU11-pattern5-target42 285 388 491 474 0 396 0 0 212 371 435 NaN NaN 267 NaN NaN 289 0 0
all-images-CVIU11-pattern5-target43 295 630 805 740 0 615 0 0 427 591 621 NaN NaN 419 NaN NaN 464 0 0
all-images-CVIU11-pattern5-target44 440 947 1179 1102 0 914 0 0 431 853 915 NaN NaN 588 NaN NaN 614 0 0
all-images-CVIU11-pattern5-target45 420 779 1065 1032 0 908 0 0 396 761 810 NaN NaN 548 NaN NaN 591 0 0
all-images-CVIU11-pattern5-target46 192 369 528 458 0 393 0 0 207 357 403 NaN NaN 296 NaN NaN 271 0 0
all-images-CVIU11-pattern5-target47 317 673 865 752 0 645 0 0 307 617 680 NaN NaN 514 NaN NaN 457 0 0
all-images-CVIU11-pattern5-target48 154 230 273 254 0 258 0 0 153 234 203 NaN NaN 141 NaN NaN 196 0 0
all-images-CVIU11-pattern5-target49 202 388 471 471 0 367 0 0 233 351 362 NaN NaN 283 NaN NaN 276 0 0
all-images-CVIU11-pattern5-target5 367 637 877 793 0 679 0 0 288 599 645 NaN NaN 419 NaN NaN 486 0 0
all-images-CVIU11-pattern5-target50 374 691 918 875 0 878 0 0 389 694 746 NaN NaN 622 NaN NaN 522 0 0
all-images-CVIU11-pattern5-target51 160 311 368 354 0 460 0 0 129 289 295 NaN NaN 246 NaN NaN 230 0 0
all-images-CVIU11-pattern5-target52 182 291 420 369 0 326 0 0 145 312 307 NaN NaN 315 NaN NaN 333 0 0
all-images-CVIU11-pattern5-target53 106 265 237 240 0 215 0 0 120 244 209 NaN NaN 151 NaN NaN 176 0 0
all-images-CVIU11-pattern5-target54 130 277 274 235 0 272 0 0 99 184 303 NaN NaN 176 NaN NaN 182 0 0
all-images-CVIU11-pattern5-target55 135 196 230 239 0 283 0 0 120 177 172 NaN NaN 159 NaN NaN 213 0 0
all-images-CVIU11-pattern5-target56 108 206 182 168 0 188 0 0 101 184 139 NaN NaN 99 NaN NaN 108 0 0
all-images-CVIU11-pattern5-target57 522 936 1147 1124 0 952 0 0 450 893 961 NaN NaN 669 NaN NaN 679 0 0
all-images-CVIU11-pattern5-target58 126 226 191 207 0 232 0 0 67 152 150 NaN NaN 131 NaN NaN 147 0 0
all-images-CVIU11-pattern5-target59 289 612 755 704 0 661 0 0 284 548 573 NaN NaN 403 NaN NaN 489 0 0
all-images-CVIU11-pattern5-target6 316 682 850 845 0 671 0 0 298 639 709 NaN NaN 441 NaN NaN 433 0 0
all-images-CVIU11-pattern5-target60 231 290 515 381 0 314 0 0 140 298 398 NaN NaN 212 NaN NaN 233 0 0
all-images-CVIU11-pattern5-target61 322 529 810 672 0 660 0 0 266 536 593 NaN NaN 408 NaN NaN 424 0 0
all-images-CVIU11-pattern5-target62 395 702 807 813 0 667 0 0 316 607 653 NaN NaN 450 NaN NaN 467 0 0
all-images-CVIU11-pattern5-target63 294 470 599 646 0 480 0 0 238 437 475 NaN NaN 339 NaN NaN 343 0 0
all-images-CVIU11-pattern5-target64 154 346 423 499 0 368 0 0 182 312 343 NaN NaN 253 NaN NaN 256 0 0
all-images-CVIU11-pattern5-target65 138 447 389 364 0 302 0 0 159 283 347 NaN NaN 243 NaN NaN 219 0 0
all-images-CVIU11-pattern5-target66 157 174 246 259 0 260 0 0 91 179 182 NaN NaN 161 NaN NaN 147 0 0
all-images-CVIU11-pattern5-target67 326 684 926 827 0 722 0 0 342 685 704 NaN NaN 497 NaN NaN 573 0 0
all-images-CVIU11-pattern5-target68 367 758 995 935 0 822 0 0 351 726 757 NaN NaN 522 NaN NaN 721 0 0
all-images-CVIU11-pattern5-target69 424 811 1131 1115 0 902 0 0 409 841 924 NaN NaN 597 NaN NaN 603 0 0
all-images-CVIU11-pattern5-target7 320 607 761 753 0 645 0 0 377 541 579 NaN NaN 398 NaN NaN 418 0 0
all-images-CVIU11-pattern5-target70 361 731 881 865 0 727 0 0 347 666 832 NaN NaN 489 NaN NaN 527 0 0
all-images-CVIU11-pattern5-target71 294 524 698 668 0 547 0 0 246 505 575 NaN NaN 409 NaN NaN 426 0 0
all-images-CVIU11-pattern5-target72 245 469 603 754 0 505 0 0 254 458 615 NaN NaN 340 NaN NaN 362 0 0
all-images-CVIU11-pattern5-target73 361 781 1010 923 0 720 0 0 439 669 791 NaN NaN 503 NaN NaN 566 0 0
all-images-CVIU11-pattern5-target74 408 728 971 964 0 782 0 0 367 754 799 NaN NaN 567 NaN NaN 646 0 0
all-images-CVIU11-pattern5-target75 481 814 1002 951 0 913 0 0 389 750 809 NaN NaN 553 NaN NaN 644 0 0
all-images-CVIU11-pattern5-target76 403 824 1089 1089 0 1001 0 0 494 1004 845 NaN NaN 560 NaN NaN 590 0 0
all-images-CVIU11-pattern5-target77 386 816 1056 1029 0 904 0 0 382 773 810 NaN NaN 560 NaN NaN 626 0 0
all-images-CVIU11-pattern5-target78 398 935 970 946 0 782 0 0 396 767 799 NaN NaN 617 NaN NaN 566 0 0
all-images-CVIU11-pattern5-target79 71 135 212 197 0 144 0 0 98 155 147 NaN NaN 97 NaN NaN 134 0 0
all-images-CVIU11-pattern5-target8 159 286 396 402 0 347 0 0 150 297 376 NaN NaN 193 NaN NaN 207 0 0
all-images-CVIU11-pattern5-target80 104 187 302 223 0 232 0 0 78 201 226 NaN NaN 171 NaN NaN 179 0 0
all-images-CVIU11-pattern5-target81 179 431 403 386 0 359 0 0 223 293 340 NaN NaN 213 NaN NaN 229 0 0
all-images-CVIU11-pattern5-target82 215 403 563 516 0 537 0 0 207 403 532 NaN NaN 320 NaN NaN 324 0 0
all-images-CVIU11-pattern5-target83 236 443 595 597 0 510 0 0 248 425 499 NaN NaN 320 NaN NaN 376 0 0
all-images-CVIU11-pattern5-target84 16 30 64 67 0 35 0 0 24 28 37 NaN NaN 42 NaN NaN 48 0 0
all-images-CVIU11-pattern5-target85 288 549 755 721 0 601 0 0 311 593 707 NaN NaN 406 NaN NaN 625 0 0
all-images-CVIU11-pattern5-target86 195 456 469 435 0 400 0 0 161 327 401 NaN NaN 269 NaN NaN 260 0 0
all-images-CVIU11-pattern5-target87 237 288 445 375 0 339 0 0 193 282 314 NaN NaN 336 NaN NaN 232 0 0
all-images-CVIU11-pattern5-target88 279 706 795 699 0 567 0 0 354 503 551 NaN NaN 394 NaN NaN 381 0 0
all-images-CVIU11-pattern5-target89 100 215 302 244 0 235 0 0 143 201 201 NaN NaN 142 NaN NaN 153 0 0
all-images-CVIU11-pattern5-target9 230 349 450 377 0 308 0 0 128 277 284 NaN NaN 189 NaN NaN 231 0 0
